COUNTY,AMEBIASIS,ANAPLASMOSIS,"ARBO, OTHER NON-INVASIVE",BABESIOSIS,BOTULISM,BRUCELLOSIS,CAMPYLOBACTERIOSIS,CHLAMYDIA,CHIKUNGUNYA,CHOLERA,CRYPTOSPORIDIOSIS,CYCLOSPORIASIS,DENGUE FEVER,E. COLI SHIGA-TOXIN,EHRLICHIOSIS,EHRLICH/ANAPLAS UNDETERMINED,ENCEPHALITIS (NON-WNV),GIARDIASIS,GONORRHEA,HAEMOPHILUS INFLUENZAE,HANTAVIRUS,HEMOLYTIC UREMIC SYNDROME,HEPATITIS A,HEPATITIS B ACUTE,HEPATITIS B CHRONIC*,HEPATITIS C ACUTE,HEPATITIS C CHRONIC*,"HERPES INF, INFANT <60 DAYS",LABORATORY CONFIRMED INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,LYME DISEASE,LYMPHOGRANULOMA VENEREUM,MALARIA,MEASLES,MELIOIDOSIS,MENINGITIS ASEPTIC,MENINGOCOCCAL,MENINGITIS OTHER BACT. AND UNKNOWN,MUMPS,PERTUSSIS,PSITTACOSIS,Q FEVER,RMSF,RUBELLA,SALMONELLOSIS,SHIGELLOSIS,STREP GROUP A INVASIVE,STREP GROUP B INVASIVE,STREP PNEUMO INVASIVE,SYPHILIS EARLY,SYPHILIS LATE,TETANUS,TOXIC SHOCK SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,WEST NILE FEVER,WEST NILE VIRUS,YERSINIOSIS,ZIKA VIRUS
SCHUYLER,0,0,0,0,0,0,4,34,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,11,0,55,1,0,46,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
SENECA,0,0,0,0,0,0,5,101,0,0,0,1,0,1,0,0,0,2,10,3,0,0,0,0,4,4,44,0,120,1,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,4,5,3,3,3,0,0,0,0,0,0,0,0,0,1
STEUBEN,0,0,0,0,0,0,28,273,1,0,10,0,0,3,0,0,0,10,25,1,0,0,0,1,5,4,52,0,317,5,0,105,0,0,0,0,2,0,1,0,11,0,0,0,0,12,1,2,14,11,3,1,1,0,0,0,0,0,0,0,0,0
SUFFOLK,32,31,0,138,0,0,270,4917,1,0,9,5,1,17,55,2,6,95,760,42,1,0,15,8,289,5,825,0,4400,34,7,523,0,6,1,0,50,1,2,8,46,0,0,6,0,198,37,56,144,100,151,126,0,0,34,0,9,2,0,6,9,13
SULLIVAN,1,5,0,1,0,0,14,271,0,0,0,0,0,2,0,0,0,8,75,2,0,0,0,0,2,0,82,0,332,4,0,38,0,0,0,0,0,0,0,1,6,0,0,0,0,14,2,2,5,2,9,3,0,0,2,0,0,0,0,0,0,1
TIOGA,0,1,0,0,0,0,9,72,0,0,7,0,0,0,1,0,0,6,15,1,0,0,0,0,6,1,55,0,255,1,1,123,0,0,0,0,3,0,0,1,3,0,0,1,0,5,0,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0
TOMPKINS,2,5,0,1,0,0,24,423,0,0,19,0,1,5,2,0,4,11,87,0,0,0,0,0,24,5,66,0,663,3,0,185,0,1,0,0,3,0,0,0,20,0,0,1,0,8,1,3,7,7,11,4,0,0,2,0,0,0,0,0,0,3
ULSTER,1,76,0,25,0,0,40,568,0,0,1,2,0,2,8,0,0,13,124,1,0,0,5,0,20,3,159,0,643,8,0,419,0,0,0,0,0,0,0,5,10,0,0,3,0,13,0,8,20,19,16,15,0,0,0,1,1,0,0,0,0,1
WARREN,0,8,0,1,0,0,11,202,0,0,0,0,0,5,0,1,0,1,15,1,0,0,0,0,3,0,38,0,154,1,0,24,0,0,0,0,0,0,0,2,1,0,0,0,0,8,0,3,5,10,4,1,0,0,0,0,2,0,0,0,1,0
WASHINGTON,0,101,0,2,0,0,23,159,0,0,0,0,0,0,3,0,1,6,20,1,0,0,0,0,1,1,36,0,167,4,0,86,0,0,0,0,1,0,0,2,3,0,1,0,0,4,0,3,9,5,0,2,0,0,0,0,0,0,0,0,1,0
WAYNE,0,1,0,0,0,0,11,263,0,0,3,0,0,5,0,0,0,5,62,6,0,0,0,0,2,5,40,0,520,3,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,18,3,3,10,12,3,4,0,2,0,0,0,0,0,0,0,0
WESTCHESTER,24,33,0,62,0,0,217,3812,0,0,12,4,0,7,15,2,3,85,672,17,0,0,13,3,302,5,357,1,5179,44,5,407,0,8,0,0,34,3,10,5,33,0,0,1,0,122,30,35,98,59,142,136,0,1,31,4,7,0,0,3,11,10
WYOMING,0,0,0,0,0,0,8,73,0,0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,1,0,15,0,74,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0
YATES,0,0,0,0,0,0,3,52,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,1,1,9,0,95,0,0,56,0,0,0,0,0,0,1,0,21,0,0,0,0,7,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0
